"557","IPI00003469","11947","Ig kappa chain V-I region WEA","2","90","167","3"
"599","IPI00007899","12349","Single chain Fv","1","55","213","3"
"611","IPI00009866","51187","KRT13 protein","1","40","255","3"
"616","IPI00010471","70815","L-plastin","1","35","552","3"
"555","IPI00011229","45037","Cathepsin D precursor","2","95","405","3"
"617","IPI00013508","103563","Alpha-actinin 1","1","35","561","3"
"614","IPI00014572","35465","SPARC precursor","1","37","500","3"
"612","IPI00019190","57450","Myocilin precursor","1","40","515","3"
"554","IPI00020019","26511","Adiponectin precursor","2","98","382","3"
"622","IPI00021353","45234","S-arrestin","1","33","475","3"
"441","IPI00021440","42108","Actin, cytoplasmic 2","16","735","172","3"
"565","IPI00022389","25194","Splice Isoform 1 Of C-reactive protein       precursor","2","77","451","3"
"496","IPI00025204","39603","CD5 antigen-like precursor","5","181","357","3"
"523","IPI00025426","165215","Pregnancy zone protein   precursor","3","155","118","3"
"556","IPI00025447","50451","Elongation factor 1-alpha 1","2","95","395","3"
"536","IPI00025753","114670","Desmoglein 1 precursor","3","97","406","3"
"558","IPI00026314","86043","Gelsolin precursor","2","89","101","3"
"509","IPI00027230","97170","Endoplasmin precursor","4","153","370","3"
"515","IPI00027507","38496","Complement factor H-related protein 3       precursor","4","128","381","3"
"410","IPI00029717","70227","Splice Isoform 2 Of Fibrinogen alpha/alpha-E       chain precursor","36","1559","105","3"
"525","IPI00031008","246358","Splice Isoform 1 Of Tenascin   precursor","3","143","361","3"
"608","IPI00033583","46646","Serpin B12","1","45","482","3"
"597","IPI00152189","14174","Hypothetical protein","1","57","407","3"
"609","IPI00152881","218125","Shroom-related protein","1","44","486","3"
"591","IPI00163446","65747","Similar to Ig delta chain C   region","1","60","225","3"
"618","IPI00164755","129772","Prepro-alpha2(I) collagen   precursor","1","35","465","3"
"619","IPI00164776","40076","Similar to RIKEN cDNA A230078I05   gene","1","34","584","3"
"567","IPI00169383","44985","PhosPhoglycerate kinase 1","2","76","427","3"
"606","IPI00186290","96246","Eukaryotic translation Elongation factor 2","1","50","423","3"
"568","IPI00219018","44332","Similar to Glyceraldehyde 3-phosphate       dehydrogenase, liver","2","75","374","3"
"586","IPI00219757","24721","Glutathione S-transferase P","1","66","417","3"
"571","IPI00290077","49365","Keratin, type I cytoskeletal   15","2","74","222","3"
"610","IPI00290078","65610","Keratin, type II cytoskeletal   4","1","41","284","3"
"559","IPI00298994","273479","Talin 1","2","89","422","3"
"576","IPI00299059","137652","Neural cell adhesion molecule","2","69","493","3"
"577","IPI00303313","184189","Collagen alpha 1(V) chain   precursor","2","66","479","3"
"584","IPI00328493","15734","Full-length cDNA clone CS0DL004YM19 of B       cells","1","74","256","3"
"434","IPI00333541","283323","Filamin A","20","657","242","3"
"607","IPI00382470","98622","Heat shock protein HSP   90-alpha","1","50","365","3"
"582","IPI00382499","12669","Ig heavy chain V-III region   JON","1","81","283","3"
"602","IPI00382500","12836","Ig heavy chain V-III region   GAL","1","52","217","3"
"521","IPI00384409","13310","Myosin-reactive immunoglobulin heavy chain       variable region","3","160","253","3"
"578","IPI00385985","12042","Ig lambda chain V-III region   LOI","2","61","280","3"
"488","IPI00387025","11768","Ig kappa chain V-I region DEE","5","306","160","3"
"601","IPI00387097","11941","Ig kappa chain V-I region Lay","1","54","345","3"
"587","IPI00387117","11895","Ig kappa chain V-III region   Ti","1","62","144","3"
"589","IPI00387119","12029","Ig kappa chain V-III region   POM","1","61","331","3"
"620","IPI00394880","90321","Similar to Glucosidase II","1","34","571","3"
"510","IPI00396378","37464","Splice Isoform 1 Of Heterogeneous nuclear       ribonucleoproteins A2/B1","4","144","404","3"
"594","IPI00398220","11845","Myosin-reactive immunoglobulin light chain       variable region","1","59","169","3"
"450","IPI00400826","58537","Clusterin isoform 1","13","535","234","3"
"625","IPI00409590","194016","Splice Isoform 1 Of LIM domain only protein       7","1","31","632","3"
"569","IPI00418138","150410","AlphA 1 type XVIII collAgen isoform 3 precursor","2","75","439","3"
"535","IPI00419424","27599","Ig kappa chain C region","3","99","51","3"
"598","IPI00423445","52376","Hypothetical protein   DKFZp686P15220","1","56","9","3"
"583","IPI00430806","25236","Hypothetical protein","1","78","75","3"
"621","IPI00448707","27009","Ig kappa chain C region","1","34","59","3"
"592","IPI00456966","28175","PREDICTED: similar to Chloride intracellular       channel protein 1 (Nuclear chloride ion ch","1","60","433","3"
"469","IPI00465248","47481","Enolase 1","8","419","249","3"
"460","IPI00477807","52603","Similar to Vimentin","11","420","275","3"
"503","IPI00479925","222861","Agrin","4","193","267","3"
"623","IPI00480113","83066","Putative homeodomain transcription factor     1","1","33","604","3"
"605","IPI00480133","20270","20 kDa protein","1","51","462","3"
"600","IPI00514517","11345","V4-1 protein","1","55","447","3"
"518","IPI00549413","40904","Annexin I","3","187","319","3"
"528","IPI00549682","52762","Fructose-bisphosphate aldolase   A","3","132","368","3"
"427","IPI00549839","62169","Keratin, type II cytoskeletal   6A","22","1021","126","3"
